,Index,Buy,Sell,Rate
2020-04-07 15:21:39,99.9,1233.0,1209.6,1221.3
2020-04-07 15:23:20,99.9,1232.8,1209.4,1221.1
2020-04-07 15:24:19,99.9,1232.5,1209.1,1220.8
2020-04-07 15:24:49,99.9,1232.1,1208.7,1220.4
2020-04-07 15:25:23,99.9,1231.7,1208.3,1220.0
2020-04-07 15:26:27,99.9,1232.4,1209.0,1220.7
2020-04-07 15:28:21,99.9,1232.3,1208.9,1220.6
2020-04-07 15:28:49,99.9,1232.6,1209.2,1220.9
2020-04-07 15:31:30,99.9,1232.9,1209.5,1221.2
2020-04-07 15:32:08,99.9,1233.2,1209.8,1221.5
2020-04-07 15:45:35,99.9,1232.7,1209.3,1221.0
2020-04-07 15:51:50,99.9,1232.7,1209.3,1221.0
2020-04-07 16:05:50,99.9,1231.7,1208.3,1220.0
2020-04-07 16:12:36,99.9,1231.7,1208.3,1220.0
2020-04-07 16:16:23,99.9,1231.7,1208.3,1220.0
2020-04-07 16:21:32,99.9,1230.1,1206.9,1218.5
2020-04-07 16:35:29,99.9,1230.1,1206.9,1218.5
2020-04-07 16:39:30,99.9,1229.1,1205.9,1217.5
2020-04-07 16:48:24,99.9,1229.1,1205.9,1217.5
2020-04-07 16:54:08,99.9,1227.6,1204.4,1216.0
2020-04-07 16:58:41,99.9,1227.6,1204.4,1216.0
2020-04-08 08:26:28,100.12,1227.1,1203.9,1215.5
2020-04-08 08:33:21,100.12,1227.1,1203.9,1215.5
2020-04-08 08:40:57,100.12,1227.1,1203.9,1215.5
2020-04-08 08:46:21,100.12,1227.1,1203.9,1215.5
2020-04-08 08:51:32,100.12,1227.1,1203.9,1215.5
2020-04-08 08:57:35,100.12,1227.1,1203.9,1215.5
2020-04-08 09:00:46,100.12,1227.7,1204.5,1216.1
2020-04-08 09:01:16,100.12,1228.9,1205.7,1217.3
2020-04-08 09:03:00,100.12,1229.2,1206.0,1217.6
2020-04-08 09:03:40,100.12,1229.7,1206.5,1218.1
2020-04-08 09:05:17,100.12,1230.5,1207.1,1218.8
2020-04-08 09:07:10,100.12,1230.8,1207.4,1219.1
2020-04-08 09:11:05,100.12,1231.3,1207.9,1219.6
2020-04-08 09:11:48,100.12,1231.5,1208.1,1219.8
2020-04-08 09:14:11,100.12,1231.5,1208.1,1219.8
2020-04-08 09:14:59,100.12,1231.9,1208.5,1220.2
2020-04-08 09:15:58,100.12,1232.2,1208.8,1220.5
2020-04-08 09:17:19,100.12,1232.5,1209.1,1220.8
2020-04-08 09:18:57,100.12,1232.3,1208.9,1220.6
2020-04-08 09:22:13,100.12,1232.3,1208.9,1220.6
2020-04-08 09:29:05,100.12,1232.5,1209.1,1220.8
2020-04-08 09:33:29,100.12,1233.0,1209.6,1221.3
2020-04-08 09:34:19,100.12,1234.0,1210.6,1222.3
2020-04-08 09:34:45,100.12,1233.4,1210.0,1221.7
2020-04-08 09:44:57,100.12,1233.3,1209.9,1221.6
2020-04-08 09:46:24,100.12,1233.4,1210.0,1221.7
2020-04-08 09:48:05,100.12,1232.9,1209.5,1221.2
2020-04-08 09:50:41,100.12,1233.0,1209.6,1221.3
2020-04-08 09:51:10,100.12,1233.2,1209.8,1221.5
2020-04-08 09:54:00,100.12,1232.8,1209.4,1221.1
2020-04-08 10:01:08,100.12,1233.2,1209.8,1221.5
2020-04-08 10:04:10,100.12,1232.0,1208.6,1220.3
2020-04-08 10:06:41,100.12,1232.3,1208.9,1220.6
2020-04-08 10:09:20,100.12,1232.2,1208.8,1220.5
2020-04-08 10:15:35,100.12,1232.5,1209.1,1220.8
2020-04-08 10:17:36,100.12,1231.5,1208.1,1219.8
2020-04-08 10:18:00,100.12,1230.8,1207.4,1219.1
2020-04-08 10:18:25,100.12,1231.2,1207.8,1219.5
2020-04-08 10:19:37,100.12,1230.8,1207.4,1219.1
2020-04-08 10:20:03,100.12,1230.3,1207.1,1218.7
2020-04-08 10:23:22,100.12,1230.6,1207.2,1218.9
2020-04-08 10:23:55,100.12,1230.9,1207.5,1219.2
2020-04-08 10:24:55,100.12,1230.6,1207.2,1218.9
2020-04-08 10:26:51,100.12,1229.4,1206.2,1217.8
2020-04-08 10:27:22,100.12,1229.6,1206.4,1218.0
2020-04-08 10:30:46,100.12,1229.8,1206.6,1218.2
2020-04-08 10:32:54,100.12,1230.5,1207.1,1218.8
2020-04-08 10:34:33,100.12,1230.7,1207.3,1219.0
2020-04-08 10:38:27,100.12,1231.0,1207.6,1219.3
2020-04-08 10:45:29,100.12,1230.6,1207.2,1218.9
2020-04-08 10:46:46,100.12,1231.5,1208.1,1219.8
2020-04-08 10:47:25,100.12,1232.2,1208.8,1220.5
2020-04-08 10:47:56,100.12,1231.7,1208.3,1220.0
2020-04-08 10:58:46,100.12,1231.9,1208.5,1220.2
2020-04-08 10:59:41,100.12,1232.5,1209.1,1220.8
2020-04-08 11:01:55,100.12,1231.8,1208.4,1220.1
2020-04-08 11:04:10,100.12,1231.4,1208.0,1219.7
2020-04-08 11:04:42,100.12,1231.1,1207.7,1219.4
2020-04-08 11:06:12,100.12,1230.9,1207.5,1219.2
2020-04-08 11:09:34,100.12,1231.2,1207.8,1219.5
2020-04-08 11:17:04,100.12,1231.3,1207.9,1219.6
2020-04-08 11:18:32,100.12,1231.6,1208.2,1219.9
2020-04-08 11:21:52,100.12,1231.7,1208.3,1220.0
2020-04-08 11:29:52,100.12,1231.6,1208.2,1219.9
2020-04-08 11:31:29,100.12,1231.3,1207.9,1219.6
2020-04-08 11:38:48,100.12,1231.0,1207.6,1219.3
2020-04-08 11:40:04,100.12,1231.4,1208.0,1219.7
2020-04-08 11:42:29,100.12,1231.7,1208.3,1220.0
2020-04-08 11:53:34,100.12,1232.1,1208.7,1220.4
2020-04-08 11:54:33,100.12,1232.4,1209.0,1220.7
2020-04-08 11:59:01,100.12,1232.1,1208.7,1220.4
2020-04-08 12:00:07,100.12,1232.6,1209.2,1220.9
